Process: PCManagerMainService.exe, Start Time: 2025-05-11 14:40:22
Process: osdservice.exe, Start Time: 2025-05-11 14:40:22
Process: svchost.exe, Start Time: 2025-05-11 14:40:22
Process: postgres.exe, Start Time: 2025-05-11 14:40:22
Process: Code.exe, Start Time: 2025-05-11 14:42:09
Process: svchost.exe, Start Time: 2025-05-11 14:40:22
Process: pg_ctl.exe, Start Time: 2025-05-11 14:40:22
Process: MpDefenderCoreService.exe, Start Time: 2025-05-11 14:40:22
Process: svchost.exe, Start Time: 2025-05-11 14:40:22
Process: postgres.exe, Start Time: 2025-05-11 14:40:22
Process: RtkAudUService64.exe, Start Time: 2025-05-11 14:40:22
Process: RvControlSvc.exe, Start Time: 2025-05-11 14:40:22
Process: svchost.exe, Start Time: 2025-05-11 14:40:22
Process: Code.exe, Start Time: 2025-05-11 14:42:09
Process: svchost.exe, Start Time: 2025-05-11 14:40:22
Process: MsMpEng.exe, Start Time: 2025-05-11 14:40:22
Process: SessionService.exe, Start Time: 2025-05-11 14:40:22
Process: pgagent.exe, Start Time: 2025-05-11 14:40:22
Process: svchost.exe, Start Time: 2025-05-11 14:40:22
Process: svchost.exe, Start Time: 2025-05-11 14:41:21
Process: AMDRSSrcExt.exe, Start Time: 2025-05-11 14:45:31
Process: postgres.exe, Start Time: 2025-05-11 14:40:22
Process: postgres.exe, Start Time: 2025-05-11 14:40:22
Process: WmiPrvSE.exe, Start Time: 2025-05-11 14:40:22
Process: svchost.exe, Start Time: 2025-05-11 14:40:22
Process: nahimicNotifSys.exe, Start Time: 2025-05-11 14:40:52
Process: SearchIndexer.exe, Start Time: 2025-05-11 14:40:22
Process: svchost.exe, Start Time: 2025-05-11 14:40:24
Process: postgres.exe, Start Time: 2025-05-11 14:40:22
Process: postgres.exe, Start Time: 2025-05-11 14:40:22
Process: dllhost.exe, Start Time: 2025-05-11 14:40:58
Process: conhost.exe, Start Time: 2025-05-11 14:40:22
Process: svchost.exe, Start Time: 2025-05-11 14:42:22
Process: conhost.exe, Start Time: 2025-05-11 14:42:18
Process: svchost.exe, Start Time: 2025-05-11 14:40:22
Process: postgres.exe, Start Time: 2025-05-11 14:40:22
Process: explorer.exe, Start Time: 2025-05-11 14:40:24
Process: postgres.exe, Start Time: 2025-05-11 14:40:22
Process: svchost.exe, Start Time: 2025-05-11 14:40:24
Process: sihost.exe, Start Time: 2025-05-11 14:40:24
Process: svchost.exe, Start Time: 2025-05-11 14:40:24
Process: WUDFHost.exe, Start Time: 2025-05-11 14:40:23
Process: CodeSetup-stable-19e0f9e681ecb8e5c09d8784acaa601316ca4571.tmp, Start Time: 2025-05-11 14:42:40
Process: svchost.exe, Start Time: 2025-05-11 14:40:25
Process: AggregatorHost.exe, Start Time: 2025-05-11 14:40:23
Process: MBAMessageCenter.exe, Start Time: 2025-05-11 14:40:23
Process: unsecapp.exe, Start Time: 2025-05-11 14:40:23
Process: unsecapp.exe, Start Time: 2025-05-11 14:40:24
Process: python.exe, Start Time: 2025-05-11 15:02:48
Process: conhost.exe, Start Time: 2025-05-11 14:42:36
Process: svchost.exe, Start Time: 2025-05-11 14:40:24
Process: svchost.exe, Start Time: 2025-05-11 14:40:24
Process: svchost.exe, Start Time: 2025-05-11 14:40:24
Process: AnyDesk.exe, Start Time: 2025-05-11 14:40:30
Process: svchost.exe, Start Time: 2025-05-11 14:40:24
Process: svchost.exe, Start Time: 2025-05-11 14:40:24
Process: svchost.exe, Start Time: 2025-05-11 14:40:24
Process: conhost.exe, Start Time: 2025-05-11 14:42:36
Process: WmiPrvSE.exe, Start Time: 2025-05-11 14:50:31
